experiment,config_id,config_label,backbone,seed,task_type,outcome,outcome_label,metric,point,n_test,test_cohort_rows,quantizer,anchoring,fusion,representation,temporal,effective_logreg_C,effective_ridge_alpha,source_artifact,source_sha256
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,severe_anemia,Severe anemia,brier,0.014587373812413392,57619,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,severe_anemia,Severe anemia,ece_15,0.00254487937666421,57619,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,hypoglycemia,Hypoglycemia,roc_auc,0.7239657155853394,58499,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,hypoglycemia,Hypoglycemia,average_precision,0.01600118088513224,58499,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,hypoglycemia,Hypoglycemia,brier,0.0055214307434509145,58499,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,hypoglycemia,Hypoglycemia,ece_15,0.0009320604149161816,58499,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,profound_hyponatremia,Profound hyponatremia,roc_auc,0.7583527145413993,59350,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,profound_hyponatremia,Profound hyponatremia,average_precision,0.0038701868807427095,59350,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,profound_hyponatremia,Profound hyponatremia,brier,0.000490278887880957,59350,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
exp1,meds_deciles_none_fusedFalse_discrete_time_tokens,Decile population (U),llama,42,binary,profound_hyponatremia,Profound hyponatremia,ece_15,0.0001259533335946243,59350,85057,deciles,none,unfused,discrete,time_tokens,0.01,,/gpfs/data/bbj-lab/users/daniel/input-representation-benchmark/outputs/runs/tokenized/mimiciv-3.1_meds_70-10-20/deciles_none_unfused_time_tokens_first_24h-tokenized/test/logistic_regression-preds-ml4h-exp1-24to48h-binary-ml4h_llama_exp1_meds_deciles_none_fusedFalse_discrete_time_tokens-s42-hp-deciles_none_unfused_time_tokens.pkl,4cf3927413082dc614faa20f2d71334bc7eb5530ed4f11d0c65808cf0d6bd041
