experiment,backbone,condition,condition_title,task_type,metric,level_id,level_label,level_position,level_marker,level_fillstyle,is_baseline,outcome_family,outcome_color,point,lo,hi,n_outcomes,n_seeds,n_architectures,member_outcomes,outcome,outcome_label,outcome_linestyle,level_delta,is_best,is_worst
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|event_order,Event stream only,1.0,o,full,False,Hematology,#AA4499,0.6663815592771477,0.6645432999839143,0.6682198185703812,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.02377098120014387,False,False
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|event_order,Event stream only,1.0,o,full,False,Electrolytes,#009988,0.4341120780796731,0.4205621334865651,0.4472911017750187,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.02467063762435029,True,False
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|time_rope,Admission-relative RoPE,2.0,^,full,False,Organ support,#CC3311,0.9335748939581229,0.8823379862183908,0.9601467854581973,4,3,2,imv_event|vasopressor_initiation|crrt_initiation|hemodialysis_initiation,Organ support,Organ support,solid,0.003978728519403285,False,False
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|time_rope,Admission-relative RoPE,2.0,^,full,False,Laboratory,#009988,0.7659571577934813,0.6846418132741934,0.9346380477129073,6,3,2,hyperkalemia|severe_hypokalemia|profound_hyponatremia|severe_hypernatremia|hypoglycemia|severe_anemia,Laboratory,Laboratory,solid,0.007993517505112901,True,False
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|time_rope,Admission-relative RoPE,2.0,^,full,False,Vitals,#332288,0.6816255154258107,0.639018274136534,0.721544551798175,3,3,2,tachycardia_hr130|severe_hypertension|hypotension,Vitals,Vitals,solid,0.00728158846538185,True,False
exp2,llama_qwen_mean,temporal,Temporal representation,binary,roc_auc,avg(discrete+soft+xval+xval_affine)|time_rope,Admission-relative RoPE,2.0,^,full,False,Hospital outcomes,#0077BB,0.8676896373285481,0.7847906548646026,0.9411690895719517,4,3,2,same_admission_death|long_length_of_stay|icu_admission|prolonged_icu_stay,Hospital outcomes,Hospital outcomes,solid,0.004807531667528009,False,False
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|time_rope,Admission-relative RoPE,2.0,^,full,False,Vitals,#332288,0.4403009101329858,0.3523489350401753,0.49789165389924617,6,3,2,min_heart_rate|max_heart_rate|min_sbp|max_sbp|min_dbp|max_dbp,Vitals,Vitals,solid,0.016001654566665247,True,False
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|time_rope,Admission-relative RoPE,2.0,^,full,False,Biomarkers,#EE7733,0.42187530051264294,0.27200945824770795,0.5412330128244286,8,3,2,min_creatinine|peak_creatinine|min_troponin|peak_troponin|min_glucose|max_glucose|min_bnp|peak_bnp,Biomarkers,Biomarkers,solid,0.013235283323633495,False,False
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|time_rope,Admission-relative RoPE,2.0,^,full,False,Hematology,#AA4499,0.6726712175915732,0.67094767617079,0.6743947590123563,2,3,2,min_hemoglobin|max_hemoglobin,Hematology,Hematology,solid,0.02377098120014387,True,False
exp2,llama_qwen_mean,temporal,Temporal representation,regression,spearman_rho,avg(discrete+soft+xval+xval_affine)|time_rope,Admission-relative RoPE,2.0,^,full,False,Electrolytes,#009988,0.43138555230899334,0.41493027766453006,0.4471013683819307,4,3,2,min_potassium|peak_potassium|min_sodium|max_sodium,Electrolytes,Electrolytes,solid,0.02467063762435029,False,False
